,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,Labels,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive,tweet_id
154729,1.33454E+18,1.33454E+18,2020-12-03 19:03:57 GTB,2020-12-03,19:03:57,300,1.17208E+18,yurec91547341,Yurec,,-1,@CoinList @BrucePon @oceanprotocol @Skeeeeto $OCEAN news a lot the price does not rise,en,[],[],[],0,0,1,[],['ocean'],https://twitter.com/Yurec91547341/status/1334543909293322242,FALSE,,0,,,,,,,,"[{'screen_name': 'CoinList', 'name': 'CoinList', 'id': '866047997456658434'}, {'screen_name': 'BrucePon', 'name': 'Bruce Pon', 'id': '54634160'}, {'screen_name': 'oceanprotocol', 'name': 'Ocean Protocol', 'id': '908581392061214720'}, {'screen_name': 'Skeeeeto', 'name': 'Scott', 'id': '978843577'}]",,,,,0.26982564,0.6740359,0.056138545,1.33454E+18
157047,1.33227E+18,1.33227E+18,2020-11-27 12:19:15 GTB,2020-11-27,12:19:15,300,481536662,cryptoshlug,CryptoShlug,,0,In the market for some good running shoes with it being #BlackFriday can any good man recommend a pair? 👟#PlsSers #Gib $LINK $OCEAN $UBT $RSR,en,[],[],[],0,0,2,"['blackfriday', 'plssers', 'gib']","['link', 'ocean', 'ubt', 'rsr']",https://twitter.com/CryptoShlug/status/1332267736953737223,FALSE,,0,,,,,,,,[],,,,,0.002394878,0.24145795,0.7561472,1.33227E+18
204965,1.29738E+18,1.29738E+18,2020-08-23 06:46:09 GTB (heure d’été),2020-08-23,06:46:09,300,1.29738E+18,darman67037837,Darman,,0,"I am part of the martkist community now, come join us #Martkist #socialmedia #Faucet $Martk $eth $btc $link $xrp $om $ampl $yam $ocean $kai $mitx #Binance #Bitcoin  https://t.co/VhPI7HWBHq",en,[],['https://imgur.com/a/oiFpsoU'],[],0,0,0,"['martkist', 'socialmedia', 'faucet', 'binance', 'bitcoin']","['martk', 'eth', 'btc', 'link', 'xrp', 'om', 'ampl', 'yam', 'ocean', 'kai', 'mitx']",https://twitter.com/Darman67037837/status/1297379576054550528,FALSE,,0,,,,,,,,[],,,,,0.002422853,0.41177204,0.58580506,1.29738E+18
106944,1.37257E+18,1.37257E+18,2021-03-18 17:37:20 GTB,2021-03-18,17:37:20,300,1380613250,dominiccahoy,⚫️hgtp://Dom,,1,"Better grab your bags now. When all the news is released, this will blow past $1 like nothing and never look back. #Constellation $DAG   $LTX $BTC $DOT $UNI $STX $KSM $ALGO $NANO $PAID $FIL $ETH $XRP $TRX $CAKE $XTZ $BNB $BAN $IOTA $HBAR $RSR $EOS $TEL $COTI $OCEAN",en,[],[],[],2,2,8,['constellation'],"['dag', 'ltx', 'btc', 'dot', 'uni', 'stx', 'ksm', 'algo', 'nano', 'paid', 'fil', 'eth', 'xrp', 'trx', 'cake', 'xtz', 'bnb', 'ban', 'iota', 'hbar', 'rsr', 'eos', 'tel', 'coti', 'ocean']",https://twitter.com/dominiccahoy/status/1372572836318085127,FALSE,https://twitter.com/Dagnum_PI/status/1372560421253640192,0,,,,,,,,[],,,,,0.048196796,0.42778754,0.52401567,1.37257E+18
222586,1.2704E+18,1.27025E+18,2020-06-09 19:49:48 GTB (heure d’été),2020-06-09,19:49:48,300,1.26025E+18,fabergecrypto,En Sabah Nur,,1,"@AnalyticsFr @RichardEudes The biggest problem with big #data is where to store it and how to #protect it. #Blockchain is one of the saffest and cheapest options. A lot of #crypto projects deals with data, like @oceanprotocol that enables #safe data #economy on their platform.  $BTC $OCEAN $MATIC $LINK",en,"[{'screen_name': 'oceanprotocol', 'name': 'ocean protocol', 'id': '908581392061214720'}]",[],[],1,0,1,"['data', 'protect', 'blockchain', 'crypto', 'safe', 'economy']","['btc', 'ocean', 'matic', 'link']",https://twitter.com/fabergecrypto/status/1270397698940850180,FALSE,,0,,,,,,,,"[{'screen_name': 'AnalyticsFr', 'name': 'Analytics France', 'id': '1269972008'}, {'screen_name': 'RichardEudes', 'name': 'Richard Eudes, PhD', 'id': '49427323'}]",,,,,0.09111645,0.44584587,0.4630376,1.2704E+18
143387,1.34686E+18,1.34686E+18,2021-01-06 19:02:04 GTB,2021-01-06,19:02:04,300,8.05956E+17,coingyver,Gyver 🔺Ⓜ️,,0,if u are having a profitable day! don't forget those in need! family friends neighbors etc.   $link $eth $ocean $xlm $btc $tomo $xrp $trx $btc,en,[],[],[],2,1,21,[],"['link', 'eth', 'ocean', 'xlm', 'btc', 'tomo', 'xrp', 'trx', 'btc']",https://twitter.com/coingyver/status/1346864622855483392,FALSE,,0,,,,,,,,[],,,,,0.005588617,0.21282126,0.7815901,1.34686E+18
103545,1.37445E+18,1.37442E+18,2021-03-23 21:50:51 GTB,2021-03-23,21:50:51,300,1.37319E+18,0xc0nnected,.CONNECTED | 🅲🅸🆃🅸🆉🅴🅽 #69,,1,@CryptoWizardd Love $OCEAN,en,[],[],[],0,0,0,[],['ocean'],https://twitter.com/0xC0NNECTED/status/1374448575413854220,FALSE,,0,,,,,,,,"[{'screen_name': 'CryptoWizardd', 'name': 'WIZZ ( beware scammers )', 'id': '972970759416111104'}]",,,,,0.001852133,0.04410792,0.95403993,1.37445E+18
176960,1.31719E+18,1.317E+18,2020-10-16 22:36:41 GTB (heure d’été),2020-10-16,22:36:41,300,8.5299E+17,tradenart,🌊 traden,,1,@beincrypto @zilliqa @oceanprotocol 🌊 who is bigger than the ocean? $ocean,en,[],[],[],1,0,3,[],['ocean'],https://twitter.com/tradenart/status/1317187729961123840,FALSE,,0,,,,,,,,"[{'screen_name': 'beincrypto', 'name': 'BeInCrypto', 'id': '1021643080208801792'}, {'screen_name': 'zilliqa', 'name': 'Zilliqa', 'id': '872984298973941764'}, {'screen_name': 'oceanprotocol', 'name': 'Ocean Protocol', 'id': '908581392061214720'}]",,,,,0.049558632,0.5881048,0.3623366,1.31719E+18
165412,1.326E+18,1.326E+18,2020-11-10 05:02:45 GTB,2020-11-10,05:02:45,300,1.00092E+18,cryptofrog202,CryptoFROG - TOP BOY,,0,"@BrucePon verify, please! $OCEAN ~~",en,[],[],[],1,3,4,[],['ocean'],https://twitter.com/cryptofrog202/status/1325997295372959744,FALSE,https://twitter.com/pvlace808mafia/status/1325987897758117888,0,,,,,,,,[],,,,,0.034471236,0.6762945,0.28923422,1.326E+18
121492,1.36302E+18,1.36279E+18,2021-02-20 08:58:30 GTB,2021-02-20,08:58:30,300,483807410,jobudfs,Jobu,,0,@elonmusk @PeterSchiff This needs an $OCEAN cash tag if it hasn’t already been done.,en,[],[],[],0,0,1,[],['ocean'],https://twitter.com/JobuDFS/status/1363020186756947968,FALSE,,0,,,,,,,,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}, {'screen_name': 'PeterSchiff', 'name': 'Peter Schiff', 'id': '56562803'}]",,,,,0.11934321,0.79233783,0.08831893,1.36302E+18
